PG,SG,SF,PF,C,G,F,UTIL,P,R,O,J
James Harden,Collin Sexton,Georges Niang,D.J. Wilson,Nikola Jokic,Ricky Rubio,Anthony Davis,Montrezl Harrell,288.76
Dejounte Murray,Davion Mitchell,Devin Vassell,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Collin Sexton,288.69
James Harden,Collin Sexton,Anthony Edwards,D.J. Wilson,Montrezl Harrell,Trae Young,OG Anunoby,Ricky Rubio,288.64
James Harden,Collin Sexton,Kevin Durant,D.J. Wilson,Greg Monroe,Tyrese Maxey,Anthony Davis,Ricky Rubio,288.62
Tyrese Maxey,D'Angelo Russell,Kevin Durant,D.J. Wilson,Nikola Jokic,Ricky Rubio,Onyeka Okongwu,Montrezl Harrell,288.56
James Harden,Davion Mitchell,Kevin Durant,D.J. Wilson,Nikola Jokic,Ricky Rubio,Pat Connaughton,Collin Sexton,288.55
James Harden,Collin Sexton,Anthony Edwards,D.J. Wilson,Christian Wood,Ricky Rubio,Giannis Antetokounmpo,Cameron Oliver,288.54
James Harden,Will Barton,Anthony Edwards,Darius Bazley,Nikola Jokic,Ricky Rubio,D.J. Wilson,Collin Sexton,288.46
Dejounte Murray,Collin Sexton,Kevin Durant,D.J. Wilson,Christian Wood,Ricky Rubio,Anthony Davis,Onyeka Okongwu,288.39
Dejounte Murray,Collin Sexton,Tim Hardaway Jr.,DeMar DeRozan,Nikola Jokic,Ricky Rubio,D.J. Wilson,Montrezl Harrell,288.12
De'Aaron Fox,Will Barton,Kevin Durant,D.J. Wilson,Montrezl Harrell,Ricky Rubio,Giannis Antetokounmpo,Greg Monroe,288.08
James Harden,Collin Sexton,Garrison Mathews,D.J. Wilson,Nikola Jokic,Trae Young,Onyeka Okongwu,Ricky Rubio,288.08
Luka Doncic,Collin Sexton,OG Anunoby,D.J. Wilson,Christian Wood,Ricky Rubio,Giannis Antetokounmpo,Greg Monroe,288.05
Luka Doncic,Collin Sexton,OG Anunoby,D.J. Wilson,Rudy Gobert,Ricky Rubio,Anthony Davis,Montrezl Harrell,288.04
Ricky Rubio,Collin Sexton,Tim Hardaway Jr.,D.J. Wilson,Christian Wood,,Kevin Durant,Bobby Portis,287.94
Dejounte Murray,Will Barton,Anthony Edwards,D.J. Wilson,Nikola Jokic,Ricky Rubio,Onyeka Okongwu,Montrezl Harrell,287.93
Trae Young,Collin Sexton,Kevin Durant,Tobias Harris,Christian Wood,Ricky Rubio,D.J. Wilson,Montrezl Harrell,287.88
Ricky Rubio,Will Barton,Kevin Durant,D.J. Wilson,Karl-Anthony Towns,Collin Sexton,Anthony Davis,Montrezl Harrell,287.87
Luka Doncic,Collin Sexton,Kevin Durant,D.J. Wilson,Precious Achiuwa,Ricky Rubio,Devin Vassell,Giannis Antetokounmpo,287.85
Dejounte Murray,Will Barton,Tim Hardaway Jr.,D.J. Wilson,Rudy Gobert,Ricky Rubio,Giannis Antetokounmpo,Collin Sexton,287.85
De'Aaron Fox,Will Barton,Tim Hardaway Jr.,D.J. Wilson,Nikola Jokic,Ricky Rubio,Kevin Durant,Collin Sexton,287.84
Trae Young,Collin Sexton,OG Anunoby,Darius Bazley,Nikola Jokic,Ricky Rubio,D.J. Wilson,Christian Wood,287.7
Luka Doncic,Collin Sexton,Kevin Durant,D.J. Wilson,Rudy Gobert,Ricky Rubio,Harrison Barnes,Richaun Holmes,287.61
De'Aaron Fox,Collin Sexton,Bojan Bogdanovic,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Greg Monroe,287.6
Ricky Rubio,D'Angelo Russell,Kevin Durant,D.J. Wilson,Nikola Jokic,Collin Sexton,OG Anunoby,Precious Achiuwa,287.59
Luka Doncic,Will Barton,Kevin Durant,D.J. Wilson,Rudy Gobert,Ricky Rubio,Onyeka Okongwu,Montrezl Harrell,287.59
