PG,SG,SF,PF,C,G,F,UTIL
De'Aaron Fox,Collin Sexton,Kevin Durant,D.J. Wilson,Jakob Poeltl,Ricky Rubio,Giannis Antetokounmpo,Richaun Holmes
Dejounte Murray,Will Barton,Harrison Barnes,D.J. Wilson,Nikola Jokic,Ricky Rubio,John Collins,Collin Sexton
James Harden,Collin Sexton,Eric Gordon,D.J. Wilson,Giannis Antetokounmpo,De'Aaron Fox,OG Anunoby,Ricky Rubio
Ricky Rubio,Will Barton,Anthony Edwards,D.J. Wilson,Joel Embiid,Collin Sexton,Giannis Antetokounmpo,Greg Monroe
Dejounte Murray,Collin Sexton,LeBron James,D.J. Wilson,Christian Wood,Ricky Rubio,OG Anunoby,Harrison Barnes
Ricky Rubio,D'Angelo Russell,Pat Connaughton,D.J. Wilson,Nikola Jokic,Collin Sexton,Giannis Antetokounmpo,Richaun Holmes
James Harden,Collin Sexton,Sekou Doumbouya,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Hassan Whiteside
Luka Doncic,Collin Sexton,Bojan Bogdanovic,D.J. Wilson,Nikola Jokic,Ricky Rubio,John Collins,Montrezl Harrell
Luka Doncic,Brandon Knight,Terence Davis,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Collin Sexton
Luka Doncic,Collin Sexton,Kevin Durant,D.J. Wilson,Christian Wood,De'Aaron Fox,Aaron Gordon,Ricky Rubio
James Harden,Collin Sexton,Kevin Durant,D.J. Wilson,Hassan Whiteside,Trae Young,Harrison Barnes,Ricky Rubio
Trae Young,Will Barton,Harrison Barnes,D.J. Wilson,Montrezl Harrell,Tyrese Maxey,Giannis Antetokounmpo,Ricky Rubio
Trae Young,Collin Sexton,OG Anunoby,D.J. Wilson,Jakob Poeltl,Tyrese Maxey,Giannis Antetokounmpo,Ricky Rubio
Dejounte Murray,Collin Sexton,LeBron James,D.J. Wilson,Cameron Oliver,Monte Morris,Giannis Antetokounmpo,Ricky Rubio
Dejounte Murray,Collin Sexton,Kevin Durant,D.J. Wilson,Joel Embiid,Ricky Rubio,Harrison Barnes,Precious Achiuwa
Trae Young,Collin Sexton,Eric Gordon,D.J. Wilson,Nikola Jokic,Ricky Rubio,Kevin Durant,Terence Davis
Dejounte Murray,Terence Davis,,D.J. Wilson,Montrezl Harrell,Monte Morris,Kevin Durant,Ricky Rubio
De'Aaron Fox,Collin Sexton,LeBron James,D.J. Wilson,Onyeka Okongwu,Ricky Rubio,Kevin Durant,Anthony Edwards
Luka Doncic,Collin Sexton,Harrison Barnes,DeMar DeRozan,Montrezl Harrell,Trae Young,D.J. Wilson,Ricky Rubio
Tyrese Maxey,Anthony Edwards,,D.J. Wilson,Montrezl Harrell,Ricky Rubio,Kevin Durant,Cameron Oliver
